"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2018","39.7","8","27","61"
"2019","40.2375","8","27","55.7"
"2020","37.7333333333333","8","26","55.5666666666666"
"2021","38.9416666666666","8","26.2","55.4333333333333"
"2022","40.9375","8","29.3","55.3"
